Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
27,15196,Kenny Stills,MIA,WR,16,81,42,51.9,726,9,74,9,17.3,0,0,0,0,0,0,7.9,126.6
28,16263,Allen Robinson II,JAX,WR,16,151,73,48.3,883,6,42,5.8,12.1,0,0,0,0,1,0,7.9,126.3
29,15534,Adam Thielen,MIN,WR,16,92,69,75,967,5,71,10.5,14,2,15,7.5,0,2,1,7.9,126.2
30,3943,DeSean Jackson,WAS,WR,15,100,56,56,1005,4,80,10,17.9,0,0,0,0,0,0,8.3,124.5
30,16866,Jamison Crowder,WAS,WR,16,99,67,67.7,847,7,55,8.6,12.6,2,-2,-1,0,2,1,7.8,124.5
32,6767,Pierre Garcon,WAS,WR,16,114,79,69.3,1041,3,70,9.1,13.2,0,0,0,0,0,0,7.6,122.1
33,11463,Brandon LaFell,CIN,WR,16,107,64,59.8,862,6,86,8.1,13.5,1,-2,-2,0,0,0,7.6,122
34,12845,A.J. Green,CIN,WR,10,100,66,66,964,4,54,9.6,14.6,0,0,0,0,0,0,12,120.4
35,16141,Willie Snead IV,NO,WR,15,104,72,69.2,895,4,49,8.6,12.4,0,0,0,0,2,0,8,119.5
36,14986,DeAndre Hopkins,HOU,WR,16,151,78,51.7,954,4,51,6.3,12.2,0,0,0,0,0,0,7.5,119.4
36,17961,Sterling Shepard,NYG,WR,16,105,65,61.9,683,8,32,6.5,10.5,3,31,10.3,0,0,0,7.5,119.4
38,13870,Marvin Jones Jr.,DET,WR,15,103,55,53.4,930,4,73,9,16.9,1,3,3,0,0,0,7.8,117.3
39,14141,Cole Beasley,DAL,WR,16,98,75,76.5,833,5,47,8.5,11.1,1,7,7,0,0,0,7.1,114
40,4358,Steve Smith,BAL,WR,14,101,70,69.3,799,5,52,7.9,11.4,0,0,0,0,0,0,8.1,113.9
41,17167,Cameron Meredith,CHI,WR,14,97,66,68,888,4,50,9.2,13.5,1,6,6,0,3,2,8.1,113.48
42,16063,Quincy Enunwa,NYJ,WR,16,105,58,55.2,857,4,69,8.2,14.8,2,21,10.5,0,0,0,7,111.8
43,16258,Marqise Lee,JAX,WR,16,105,63,60,851,3,51,8.1,13.5,6,35,5.8,0,1,1,6.8,109.4
44,16906,Stefon Diggs,MIN,WR,13,112,84,75,903,3,46,8.1,10.8,3,10,3.3,0,0,0,8.4,109.3
45,11712,Anquan Boldin,DET,WR,16,95,67,70.5,584,8,35,6.1,8.7,0,0,0,0,0,0,6.6,106.4
46,16919,J.J. Nelson,ARI,WR,15,74,34,45.9,568,6,80,7.7,16.7,4,83,20.8,1,1,1,7,105.1
47,12109,Ted Ginn Jr.,CAR,WR,16,95,54,56.8,752,4,88,7.9,13.9,14,98,7,0,3,2,6.6,105
47,16129,Taylor Gabriel,ATL,WR,13,50,35,70,579,6,76,11.6,16.5,4,51,12.8,1,0,0,8.1,105
47,16728,Dontrelle Inman,LAC,WR,16,97,58,59.8,810,4,57,8.4,14,0,0,0,0,0,0,6.6,105
50,16775,DeVante Parker,MIA,WR,15,88,56,63.6,744,4,56,8.5,13.3,0,0,0,0,0,0,6.6,98.4
51,11667,Brandon Marshall,NYJ,WR,15,128,59,46.1,788,3,41,6.2,13.4,0,0,0,0,0,0,6.5,96.8
52,16855,Ty Montgomery,GB,WR,15,56,44,78.6,348,0,24,6.2,7.9,77,457,5.9,3,2,1,6.4,96.5
53,14187,Alshon Jeffery,CHI,WR,12,94,52,55.3,821,2,54,8.7,15.8,0,0,0,0,0,0,7.8,94.1
54,14828,Chris Hogan,NE,WR,15,58,38,65.5,680,4,79,11.7,17.9,3,9,3,0,1,1,6.1,90.9
55,13878,Mohamed Sanu,ATL,WR,15,81,59,72.8,653,4,59,8.1,11.1,1,5,5,0,1,1,6,89.8
56,15215,Tavon Austin,LAR,WR,15,106,58,54.7,509,3,43,4.8,8.8,28,159,5.7,1,5,1,5.9,88.8
57,13227,Randall Cobb,GB,WR,13,84,60,71.4,610,4,47,7.3,10.2,10,33,3.3,0,1,0,6.8,88.3
58,13887,Travis Benjamin,LAC,WR,14,75,47,62.7,677,4,54,9,14.4,2,-3,-1.5,0,5,3,6.1,85.4
59,16830,Tyler Lockett,SEA,WR,15,66,41,62.1,597,1,57,9,14.6,6,114,19,1,0,0,5.5,83.1
60,12794,Jeremy Kerley,SF,WR,16,115,64,55.7,667,3,33,5.8,10.4,0,0,0,0,4,1,5.2,82.7
61,15088,Terrance Williams,DAL,WR,16,61,44,72.1,594,4,47,9.7,13.5,0,0,0,0,1,1,5.1,81.4
62,14478,Michael Floyd,NE,WR,15,76,37,48.7,488,5,39,6.4,13.2,0,0,0,0,0,0,5.3,78.8
63,17290,Adam Humphries,TB,WR,15,83,55,66.3,622,2,42,7.5,11.3,5,18,3.6,0,3,0,5.2,78
63,17480,Eli Rogers,PIT,WR,13,66,48,72.7,594,3,39,9,12.4,1,6,6,0,2,0,6,78
65,17916,William Fuller V,HOU,WR,14,92,47,51.1,635,2,53,6.9,13.5,1,-3,-3,0,2,0,5.4,75.2
66,14424,Brian Quick,LAR,WR,16,77,41,53.2,564,3,65,7.3,13.8,0,0,0,0,0,0,4.6,74.4
67,16326,Seth Roberts,LV,WR,16,77,38,49.4,397,5,41,5.2,10.4,0,0,0,0,0,0,4.6,73.7
68,18187,Robbie Anderson,NYJ,WR,16,78,42,53.8,587,2,52,7.5,14,3,42,14,0,1,1,4.6,72.9
69,16232,Donte Moncrief,IND,WR,9,56,30,53.6,307,7,39,5.5,10.2,1,-1,-1,0,0,0,8.1,72.6
70,17986,Tyler Boyd,CIN,WR,16,81,54,66.7,603,1,30,7.4,11.2,4,58,14.5,0,1,1,4.4,70.1
71,16787,Breshad Perriman,BAL,WR,16,66,33,50,499,3,53,7.6,15.1,1,2,2,0,0,0,4.3,68.1
72,14871,Robert Woods,BUF,WR,13,76,51,67.1,613,1,34,8.1,12,1,6,6,0,0,0,5.2,67.9
73,16790,Phillip Dorsett,IND,WR,15,59,33,55.9,528,2,64,8.9,16,2,10,5,0,1,0,4.4,65.8
74,16253,Allen Hurns,JAX,WR,11,76,35,46.1,477,3,42,6.3,13.6,0,0,0,0,1,0,6,65.7
75,8914,Jeremy Maclin,KC,WR,12,76,44,57.9,536,2,44,7.1,12.2,1,-1,-1,0,0,0,5.5,65.5
76,16640,John Brown,ARI,WR,15,72,39,54.2,517,2,30,7.2,13.3,1,10,10,0,1,0,4.3,64.7
77,18058,Tajae Sharpe,TEN,WR,16,83,41,49.4,522,2,34,6.3,12.7,1,1,1,0,0,0,4,64.3
78,18034,Malcolm Mitchell,NE,WR,14,48,32,66.7,401,4,56,8.4,12.5,0,0,0,0,0,0,4.6,64.1
79,12246,Victor Cruz,NYG,WR,15,72,39,54.2,586,1,48,8.1,15,0,0,0,0,1,1,4.2,62.6
80,13957,Kendall Wright,TEN,WR,11,43,29,67.4,416,3,48,9.7,14.3,1,15,15,0,0,0,5.6,61.1
80,14865,Marquise Goodwin,BUF,WR,15,68,29,42.6,431,3,84,6.3,14.9,0,0,0,0,0,0,4.1,61.1
82,17938,Corey Coleman,CLE,WR,10,73,33,45.2,413,3,58,5.7,12.5,2,10,5,0,0,0,6,60.3
83,14749,Jermaine Kearse,SEA,WR,16,89,41,46.1,511,1,36,5.7,12.5,0,0,0,0,0,0,3.6,57.1
84,16848,Sammie Coates,PIT,WR,14,49,21,42.9,435,2,72,8.9,20.7,4,14,3.5,0,0,0,4.1,56.9
85,16003,Sammy Watkins,BUF,WR,8,52,28,53.8,430,2,62,8.3,15.4,0,0,0,0,0,0,6.9,55
86,16837,Chris Conley,KC,WR,16,69,44,63.8,530,0,39,7.7,12,0,0,0,0,1,0,3.3,53
87,16781,Nelson Agholor,PHI,WR,15,69,36,52.2,365,2,40,5.3,10.1,5,14,2.8,0,1,0,3.5,51.9
88,16801,Dorial Green-Beckham,PHI,WR,15,74,36,48.6,392,2,26,5.3,10.9,0,0,0,0,0,0,3.4,51.2
89,16308,Albert Wilson,KC,WR,16,51,31,60.8,279,2,42,5.5,9,2,50,25,1,0,0,3.2,50.9
90,12847,Andrew Hawkins,CLE,WR,16,53,33,62.3,324,3,33,6.1,9.8,2,0,0,0,0,0,3.2,50.4
91,7389,Eddie Royal,CHI,WR,9,43,33,76.7,369,2,64,8.6,11.2,0,0,0,0,2,0,5.4,48.9
92,14850,Russell Shepard,TB,WR,14,40,23,57.5,341,2,24,8.5,14.8,1,9,9,0,0,0,3.4,47
93,9906,Danny Amendola,NE,WR,12,29,23,79.3,243,4,32,8.4,10.6,0,0,0,0,3,1,3.9,46.3
94,16567,Brandon Coleman,NO,WR,16,38,26,68.4,281,3,38,7.4,10.8,0,0,0,0,0,0,2.9,46.1
95,12830,Torrey Smith,SF,WR,12,49,20,40.8,267,3,53,5.4,13.4,0,0,0,0,0,0,3.7,44.7
96,13171,Aldrick Robinson,ATL,WR,16,32,20,62.5,323,2,59,10.1,16.2,0,0,0,0,0,0,2.8,44.3
96,16868,Justin Hardy,ATL,WR,16,31,21,67.7,203,4,27,6.5,9.7,0,0,0,0,0,0,2.8,44.3
98,14978,Justin Hunter,BUF,WR,13,23,10,43.5,189,4,64,8.2,18.9,0,0,0,0,0,0,3.3,42.9
99,15241,Quinton Patton,SF,WR,14,63,37,58.7,408,0,45,6.5,11,0,0,0,0,1,0,2.9,40.8
100,15066,Brice Butler,DAL,WR,16,32,16,50,219,3,41,6.8,13.7,0,0,0,0,0,0,2.5,39.9
101,12722,Kamar Aiken,BAL,WR,16,50,29,58,328,1,29,6.6,11.3,0,0,0,0,0,0,2.4,38.8
102,14795,Josh Bellamy,CHI,WR,16,38,19,50,282,1,31,7.4,14.8,4,37,9.2,0,0,0,2.4,37.9
103,8771,Darrius Heyward-Bey,PIT,WR,10,19,6,31.6,114,2,46,6,19,1,60,60,1,0,0,3.5,35.4
103,14920,Cobi Hamilton,PIT,WR,11,28,17,60.7,234,2,39,8.4,13.8,0,0,0,0,0,0,3.2,35.4
105,16694,Paul Richardson,SEA,WR,15,36,21,58.3,288,1,39,8,13.7,1,5,5,0,0,0,2.4,35.3
106,13856,Deonte Thompson,CHI,WR,16,36,22,61.1,249,2,24,6.9,11.3,0,0,0,0,1,1,2.2,34.9
107,13595,Bryan Walters,JAX,WR,10,34,24,70.6,231,2,23,6.8,9.6,1,4,4,0,1,1,3.4,33.5
108,16553,Corey Brown,CAR,WR,16,53,27,50.9,276,1,27,5.2,10.2,2,6,3,0,1,1,2,32.2
108,18269,Geronimo Allison,GB,WR,10,22,12,54.5,202,2,39,9.2,16.8,0,0,0,0,0,0,3.2,32.2
110,11182,Eric Decker,NYJ,WR,3,21,9,42.9,194,2,35,9.2,21.6,0,0,0,0,0,0,10.5,31.4
111,14111,Rod Streater,SF,WR,16,27,18,66.7,191,2,25,7.1,10.6,0,0,0,0,0,0,1.9,31.1
112,17153,Jordan Taylor,DEN,WR,16,25,16,64,209,2,35,8.4,13.1,0,0,0,0,1,1,1.9,30.9
113,13264,Andre Holmes,LV,WR,16,25,14,56,126,3,23,5,9,0,0,0,0,0,0,1.9,30.6
114,18602,Tanner McEvoy,SEA,WR,14,11,9,81.8,140,2,42,12.7,15.6,0,0,0,0,0,0,2,27.72
115,18361,Chester Rogers,IND,WR,14,34,19,55.9,273,0,36,8,14.4,0,0,0,0,2,0,2,27.3
116,16276,Bennie Fowler,DEN,WR,13,24,11,45.8,145,2,76,6,13.2,0,0,0,0,0,0,2,26.5
117,16480,Jeff Janis,GB,WR,16,19,11,57.9,93,1,25,4.9,8.5,2,38,19,1,0,0,1.6,25.1
118,15509,Jaron Brown,ARI,WR,7,23,11,47.8,187,1,51,8.1,17,0,0,0,0,0,0,3.5,24.7
119,18157,Charone Peake,NYJ,WR,15,35,19,54.3,186,0,27,5.3,9.8,0,0,0,1,0,0,1.6,24.6
120,18257,Jalin Marshall,NYJ,WR,10,24,14,58.3,162,2,27,6.8,11.6,0,0,0,0,4,2,2.4,24.2
121,15141,Charles Johnson,MIN,WR,16,37,20,54.1,232,0,40,6.3,11.6,0,0,0,0,0,0,1.4,23.2
122,11565,Andre Roberts,DET,WR,16,25,14,56,188,1,44,7.5,13.4,0,0,0,0,2,1,1.4,22.8
123,15118,Marquess Wilson,CHI,WR,3,16,9,56.2,160,1,35,10,17.8,0,0,0,0,0,0,7.3,22
124,18285,Roger Lewis,NYG,WR,13,19,7,36.8,97,2,30,5.1,13.9,0,0,0,0,0,0,1.7,21.7
125,12551,Jordan Norwood,DEN,WR,14,32,18,56.2,214,1,36,6.7,11.9,1,0,0,0,5,3,1.5,21.4
126,6211,Harry Douglas,TEN,WR,11,22,15,68.2,210,0,35,9.5,14,0,0,0,0,0,0,1.9,21
127,2429,Andre Johnson,TEN,WR,8,23,9,39.1,85,2,20,3.7,9.4,0,0,0,0,0,0,2.6,20.5
127,18036,Ricardo Louis,CLE,WR,16,36,18,50,205,0,42,5.7,11.4,0,0,0,0,1,0,1.3,20.5
129,16529,Freddie Martino,TB,WR,13,11,8,72.7,142,1,43,12.9,17.8,0,0,0,0,0,0,1.6,20.2
130,18116,Cody Core,CIN,WR,8,27,17,63,200,0,50,7.4,11.8,0,0,0,0,0,0,2.5,20
131,16768,Kevin White,CHI,WR,4,36,19,52.8,187,0,32,5.2,9.8,1,9,9,0,0,0,4.9,19.6
132,15971,Josh Huff,TB,WR,10,23,16,69.6,113,1,17,4.9,7.1,4,15,3.8,0,0,0,1.9,18.8
133,11501,Arrelious Benn,JAX,WR,15,10,5,50,116,1,51,11.6,23.2,0,0,0,0,0,0,1.2,17.6
134,3519,Vincent Jackson,TB,WR,5,32,15,46.9,173,0,18,5.4,11.5,0,0,0,0,0,0,3.5,17.3
135,8373,Brandon Tate,BUF,WR,15,12,8,66.7,117,0,34,9.8,14.6,3,48,16,0,0,0,1.1,16.5
136,17964,Braxton Miller,HOU,WR,10,28,15,53.6,99,1,12,3.5,6.6,3,0,0,0,0,0,1.6,15.9
137,13002,Cecil Shorts,TB,WR,9,27,11,40.7,152,0,22,5.6,13.8,0,0,0,0,0,0,1.7,15.2
138,13394,Greg Salas,BUF,WR,2,6,4,66.7,89,1,71,14.8,22.2,0,0,0,0,0,0,7.4,14.9
139,16651,Walter Powell,BUF,WR,9,25,14,56,142,0,35,5.7,10.1,0,0,0,0,0,0,1.6,14.2
140,17189,Chris Harper,SF,WR,9,21,13,61.9,133,0,19,6.3,10.2,0,0,0,0,0,0,1.5,13.3
141,14973,Markus Wheaton,PIT,WR,3,9,4,44.4,51,1,30,5.7,12.8,0,0,0,0,0,0,4.4,13.1
141,16831,Jaelen Strong,HOU,WR,8,24,14,58.3,131,0,36,5.5,9.4,0,0,0,0,0,0,1.6,13.1
143,14465,Jarius Wright,MIN,WR,8,14,11,78.6,67,1,11,4.8,6.1,0,0,0,0,0,0,1.6,12.7
144,18596,Paul Turner,PHI,WR,4,14,9,64.3,126,0,41,9,14,0,0,0,0,0,0,3.2,12.6
145,15725,Brittan Golden,ARI,WR,12,14,8,57.1,82,1,22,5.9,10.2,0,0,0,0,1,1,1,12.2
146,16979,Neal Sterling,JAX,WR,10,16,12,75,110,0,17,6.9,9.2,0,0,0,0,0,0,1.1,11
146,17257,Lucky Whitehead,DAL,WR,15,3,3,100,48,0,35,16,16,10,82,8.2,0,3,1,0.7,11
148,18145,Demarcus Ayers,PIT,WR,2,13,6,46.2,53,1,15,4.1,8.8,2,-12,-6,0,0,0,5,10.1
149,16122,James Wright,CIN,WR,13,19,13,68.4,106,0,15,5.6,8.2,2,-6,-3,0,0,0,0.8,10
150,14787,Jeremy Ross,ARI,WR,6,4,4,100,37,1,15,9.2,9.2,0,0,0,0,0,0,1.6,9.7
151,16456,TJ Jones,DET,WR,3,14,5,35.7,93,0,36,6.6,18.6,0,0,0,0,0,0,3.1,9.3
152,18014,Leonte Carroo,MIA,WR,14,6,3,50,29,1,15,4.8,9.7,0,0,0,0,0,0,0.6,8.9
153,18401,Tommylee Lewis,NO,WR,12,11,7,63.6,76,0,26,6.9,10.9,3,11,3.7,0,2,0,0.7,8.7
153,18611,Bryce Treggs,PHI,WR,9,12,3,25,80,0,58,6.7,26.7,2,7,3.5,0,0,0,1,8.7
155,18039,Pharoh Cooper,LAR,WR,11,20,14,70,106,0,23,5.3,7.6,0,0,0,0,0,0,0.8,8.6
156,18089,Rashard Higgins,CLE,WR,16,12,6,50,77,0,19,6.4,12.8,0,0,0,0,0,0,0.5,7.7
157,16278,Cody Latimer,DEN,WR,12,15,8,53.3,76,0,16,5.1,9.5,0,0,0,0,0,0,0.6,7.6
157,16411,Ryan Grant,WAS,WR,16,19,9,47.4,76,0,17,4,8.4,0,0,0,0,0,0,0.5,7.6
159,18323,Wendall Williams,HOU,WR,3,7,4,57.1,75,0,32,10.7,18.8,0,0,0,0,0,0,2.5,7.5
160,16081,Michael Campanaro,BAL,WR,3,1,0,0,0,0,0,0,0,3,72,24,0,0,0,2.4,7.2
161,18197,Alex Erickson,CIN,WR,16,8,6,75,71,0,20,8.9,11.8,0,0,0,0,3,0,0.4,7.1
162,16935,Keith Mumphery,HOU,WR,11,12,10,83.3,69,0,11,5.8,6.9,0,0,0,0,0,0,0.6,6.9
163,18129,Aaron Burbridge,SF,WR,16,16,7,43.8,88,0,24,5.5,12.6,0,0,0,0,1,1,0.4,6.8
164,17939,Josh Doctson,WAS,WR,2,6,2,33.3,66,0,57,11,33,0,0,0,0,0,0,3.3,6.6
164,18443,Maurice Harris,WAS,WR,10,12,8,66.7,66,0,15,5.5,8.2,0,0,0,0,1,0,0.7,6.6
166,18030,Chris Moore,BAL,WR,15,16,7,43.8,46,0,13,2.9,6.6,3,19,6.3,0,1,0,0.4,6.5
167,16305,De'Anthony Thomas,KC,WR,12,9,7,77.8,35,0,15,3.9,5,4,29,7.2,0,0,0,0.5,6.4
167,18080,Trevor Davis,GB,WR,11,7,3,42.9,24,1,9,3.4,8,0,0,0,0,2,1,0.6,6.4
169,15076,Keenan Allen,LAC,WR,1,7,6,85.7,63,0,15,9,10.5,0,0,0,0,0,0,6.3,6.3
170,15268,Nick Williams,ATL,WR,2,7,5,71.4,59,0,19,8.4,11.8,0,0,0,0,0,0,3,5.9
171,18241,Johnny Holton,LV,WR,15,3,2,66.7,34,0,30,11.3,17,6,43,7.2,0,1,1,0.4,5.7
172,13117,Dwayne Harris,NYG,WR,16,1,1,100,13,1,13,13,13,0,0,0,0,3,1,0.3,5.3
173,14847,Ifeanyi Momah,ARI,WR,5,4,2,50,50,0,27,12.5,25,0,0,0,0,0,0,1,5
173,15038,Tavarres King,NYG,WR,7,4,2,50,50,0,44,12.5,25,0,0,0,0,0,0,0.7,5
175,17355,Quan Bray,IND,WR,6,4,3,75,36,0,22,9,12,1,7,7,0,0,0,0.7,4.3
176,17271,Bradley Marquez,LAR,WR,14,7,3,42.9,37,0,13,5.3,12.3,1,2,2,0,0,0,0.3,3.9
177,17071,Shane Wynn,JAX,WR,5,3,1,33.3,19,0,19,6.3,19,2,5,2.5,0,0,0,0.5,2.4
178,16893,DeAndre Smelter,SF,WR,2,1,1,100,23,0,23,23,23,0,0,0,0,0,0,1.2,2.3
179,14594,Griff Whalen,NE,WR,8,4,2,50,22,0,12,5.5,11,0,0,0,0,0,0,0.3,2.2
180,16381,Devin Street,IND,WR,5,6,1,16.7,20,0,20,3.3,20,0,0,0,0,0,0,0.4,2
180,16798,Devin Smith,NYJ,WR,4,3,1,33.3,20,0,20,6.7,20,0,0,0,0,0,0,0.5,2
182,9079,Percy Harvin,BUF,WR,2,4,2,50,6,0,5,1.5,3,1,11,11,0,0,0,0.8,1.7
182,15714,Brenton Bersin,CAR,WR,10,6,2,33.3,17,0,10,2.8,8.5,0,0,0,0,0,0,0.2,1.7
182,18445,Mike Thomas,LAR,WR,15,9,3,33.3,37,0,16,4.1,12.3,0,0,0,0,1,1,0.1,1.7
185,17141,Damiere Byrd,CAR,WR,1,1,1,100,16,0,16,16,16,0,0,0,0,0,0,1.6,1.6
186,11084,Marc Mariani,TEN,WR,16,0,0,0,0,0,0,0,0,1,15,15,0,1,0,0.1,1.5
186,17914,Laquon Treadwell,MIN,WR,9,3,1,33.3,15,0,15,5,15,0,0,0,0,0,0,0.2,1.5
188,16574,Je'Ron Hamm,SF,WR,5,4,2,50,13,0,7,3.2,6.5,0,0,0,0,0,0,0.3,1.3
189,16899,Rashad Greene,JAX,WR,8,8,5,62.5,32,0,9,4,6.4,0,0,0,0,4,1,0.2,1.2
190,16080,Jeremy Butler,LAC,WR,4,2,2,100,11,0,6,5.5,5.5,0,0,0,0,0,0,0.3,1.1
191,16242,Tony Washington,JAX,WR,2,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.4,0.9
192,15659,Rashad Ross,WAS,WR,5,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.2,0.8
192,16469,Jared Abbrederis,GB,WR,5,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.2,0.8
194,18234,Paul McRoberts,LAR,WR,2,1,1,100,6,0,6,6,6,0,0,0,0,0,0,0.3,0.6
195,17358,George Farmer,SEA,WR,2,3,1,33.3,4,0,4,1.3,4,1,1,1,0,0,0,0.2,0.5
196,18071,Jordan Payton,CLE,WR,4,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,0.1,0.3
197,3601,Eric Weems,ATL,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16274,Isaiah Burse,LAC,WR,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16884,Vince Mayle,BAL,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16916,Tony Lippett,MIA,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16946,Geremy Davis,LAC,WR,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16993,Dezmin Lewis,BUF,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,16997,Mario Alford,CLE,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,17004,Tre McBride,TEN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,17079,Kasen Williams,SEA,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,17292,Donteea Dye,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,17339,Isaac Fruechte,MIN,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,18047,Demarcus Robinson,KC,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,18146,Daniel Braverman,CHI,WR,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,18221,Rashawn Scott,MIA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,18362,Tevaun Smith,IND,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,18686,Jake Lampman,NO,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,18407,Bralon Addison,CHI,WR,2,1,1,100,11,0,11,11,11,1,4,4,0,1,1,-0.2,-0.5
214,7651,Matthew Slater,NE,WR,13,1,0,0,0,0,0,0,0,1,5,5,0,2,1,-0.1,-1.5
215,18103,Jakeem Grant Sr.,MIA,WR,16,1,0,0,0,0,0,0,0,1,1,1,0,4,1,-0.1,-1.9
216,7082,Devin Hester,BAL,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,5,1,-0.2,-2
216,13974,Keshawn Martin,SF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2
216,18422,Kalif Raymond,DEN,WR,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.5,-2
